category,brand,name,price,features,tier,use_case_tags,compatibility_tags
UC & Collaboration Devices,DTEN,DTEN YN-3694 Collaboration Bar,4044.82,"Generated Model for Catalog Expansion",Premium,"collaboration","dten_os"
UC & Collaboration Devices,DTEN,DTEN ZY-6869 Video Bar Pro,5382.5,"Generated Model for Catalog Expansion",Premium,"collaboration","dten_os"
UC & Collaboration Devices,DTEN,DTEN YW-1425 Meeting Room Kit,3890.31,"Generated Model for Catalog Expansion",Standard,"collaboration","dten_os"
UC & Collaboration Devices,DTEN,DTEN YW-3277 Collaboration Bar,5798.81,"Generated Model for Catalog Expansion",Premium,"collaboration","dten_os"
UC & Collaboration Devices,Aver (VC Bars),Aver (VC Bars) ZY-9104 Meeting Room Kit,2290.47,"Generated Model for Catalog Expansion",Standard,"collaboration",""
UC & Collaboration Devices,Aver (VC Bars),Aver (VC Bars) ZW-2223 Meeting Room Kit,4521.84,"Generated Model for Catalog Expansion",Premium,"collaboration",""
UC & Collaboration Devices,Aver (VC Bars),Aver (VC Bars) ZN-6663 Meeting Room Kit,4512.91,"Generated Model for Catalog Expansion",Premium,"collaboration",""
UC & Collaboration Devices,Aver (VC Bars),Aver (VC Bars) QK-9285 Video Bar Pro,2997.16,"Generated Model for Catalog Expansion",Standard,"collaboration",""
UC & Collaboration Devices,Aver (VC Bars),Aver (VC Bars) YS-3580 Video Bar Pro,3976.24,"Generated Model for Catalog Expansion",Standard,"collaboration",""
UC & Collaboration Devices,Aver (VC Bars),Aver (VC Bars) ZU-2098 Collaboration Bar,2626.06,"Generated Model for Catalog Expansion",Standard,"collaboration",""
UC & Collaboration Devices,Aver (VC Bars),Aver (VC Bars) YU-6481 Collaboration Bar,5985.66,"Generated Model for Catalog Expansion",Premium,"collaboration",""
UC & Collaboration Devices,Aver (VC Bars),Aver (VC Bars) YU-5784 Collaboration Bar,4187.77,"Generated Model for Catalog Expansion",Premium,"collaboration",""
UC & Collaboration Devices,Aver (VC Bars),Aver (VC Bars) XC-9799 Meeting Room Kit,3587.48,"Generated Model for Catalog Expansion",Standard,"collaboration",""
UC & Collaboration Devices,Aver (VC Bars),Aver (VC Bars) QW-6047 Collaboration Bar,2976.35,"Generated Model for Catalog Expansion",Standard,"collaboration",""
UC & Collaboration Devices,EPOS,EPOS YV-9492 Video Bar Pro,2975.05,"Generated Model for Catalog Expansion",Standard,"collaboration",""
UC & Collaboration Devices,EPOS,EPOS ZY-6916 Collaboration Bar,3313.3,"Generated Model for Catalog Expansion",Standard,"collaboration",""
UC & Collaboration Devices,EPOS,EPOS ZY-8777 Video Bar Pro,3035.78,"Generated Model for Catalog Expansion",Standard,"collaboration",""
UC & Collaboration Devices,EPOS,EPOS QW-9407 Video Bar Pro,3044.29,"Generated Model for Catalog Expansion",Standard,"collaboration",""
UC & Collaboration Devices,EPOS,EPOS YU-9828 Collaboration Bar,3516.37,"Generated Model for Catalog Expansion",Standard,"collaboration",""
UC & Collaboration Devices,EPOS,EPOS ZW-2041 Meeting Room Kit,3886.23,"Generated Model for Catalog Expansion",Standard,"collaboration",""
UC & Collaboration Devices,EPOS,EPOS ZM-8565 Video Bar Pro,5279.74,"Generated Model for Catalog Expansion",Premium,"collaboration",""
UC & Collaboration Devices,EPOS,EPOS ZW-4007 Meeting Room Kit,4171.18,"Generated Model for Catalog Expansion",Premium,"collaboration",""
UC & Collaboration Devices,EPOS,EPOS YW-3200 Video Bar Pro,4334.81,"Generated Model for Catalog Expansion",Premium,"collaboration",""
UC & Collaboration Devices,Lenovo (ThinkSmart),Lenovo (ThinkSmart) YU-5989 Collaboration Bar,3973.94,"Generated Model for Catalog Expansion",Standard,"collaboration","lenovo_thinksmart"
UC & Collaboration Devices,Lenovo (ThinkSmart),Lenovo (ThinkSmart) ZK-8433 Video Bar Pro,5987.97,"Generated Model for Catalog Expansion",Premium,"collaboration","lenovo_thinksmart"
UC & Collaboration Devices,Lenovo (ThinkSmart),Lenovo (ThinkSmart) QY-1574 Video Bar Pro,3625.32,"Generated Model for Catalog Expansion",Standard,"collaboration","lenovo_thinksmart"
UC & Collaboration Devices,Lenovo (ThinkSmart),Lenovo (ThinkSmart) ZN-4309 Collaboration Bar,2484.72,"Generated Model for Catalog Expansion",Standard,"collaboration","lenovo_thinksmart"
UC & Collaboration Devices,Lenovo (ThinkSmart),Lenovo (ThinkSmart) YJ-5858 Video Bar Pro,5232.06,"Generated Model for Catalog Expansion",Premium,"collaboration","lenovo_thinksmart"
UC & Collaboration Devices,Lenvo (ThinkSmart),Lenovo (ThinkSmart) ZJ-7071 Collaboration Bar,5042.84,"Generated Model for Catalog Expansion",Premium,"collaboration","lenovo_thinksmart"
UC & Collaboration Devices,Lenovo (ThinkSmart),Lenovo (ThinkSmart) ZH-4712 Meeting Room Kit,3284.14,"Generated Model for Catalog Expansion",Standard,"collaboration","lenovo_thinksmart"
UC & Collaboration Devices,Lenovo (ThinkSmart),Lenovo (ThinkSmart) YS-6020 Collaboration Bar,1904.38,"Generated Model for Catalog Expansion",Standard,"collaboration","lenovo_thinksmart"
UC & Collaboration Devices,Lenovo (ThinkSmart),Lenovo (ThinkSmart) ZP-6893 Video Bar Pro,3338.9,"Generated Model for Catalog Expansion",Standard,"collaboration","lenovo_thinksmart"
UC & Collaboration Devices,Lenovo (ThinkSmart),Lenovo (ThinkSmart) ZK-9243 Collaboration Bar,4047.88,"Generated Model for Catalog Expansion",Premium,"collaboration","lenovo_thinksmart"
PTZ & Pro Video Cameras,Panasonic (PTZ),Panasonic (PTZ) ZE-5701 12x PTZ Camera,1767.43,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Panasonic (PTZ),Panasonic (PTZ) YC-3843 20x PTZ Camera,2666.86,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Panasonic (PTZ),Panasonic (PTZ) QW-5806 20x PTZ Camera,3731.0,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Panasonic (PTZ),Panasonic (PTZ) YL-3904 30x PTZ Camera,4419.04,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Panasonic (PTZ),Panasonic (PTZ) YM-1808 12x PTZ Camera,2367.75,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Panasonic (PTZ),Panasonic (PTZ) YU-7988 12x PTZ Camera,1545.92,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Panasonic (PTZ),Panasonic (PTZ) YW-5219 20x PTZ Camera,3699.23,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Panasonic (PTZ),Panasonic (PTZ) ZF-3074 12x PTZ Camera,2250.7,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Panasonic (PTZ),Panasonic (PTZ) ZK-8724 20x PTZ Camera,2641.48,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Panasonic (PTZ),Panasonic (PTZ) YR-8239 30x PTZ Camera,4010.59,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Canon (PTZ),Canon (PTZ) ZU-6785 12x PTZ Camera,2140.23,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Canon (PTZ),Canon (PTZ) ZK-4235 30x PTZ Camera,4460.91,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Canon (PTZ),Canon (PTZ) ZM-9705 12x PTZ Camera,1236.43,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Canon (PTZ),Canon (PTZ) QO-8231 12x PTZ Camera,2336.83,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Canon (PTZ),Canon (PTZ) ZM-3475 20x PTZ Camera,2543.08,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Canon (PTZ),Canon (PTZ) QX-6677 30x PTZ Camera,4856.12,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Canon (PTZ),Canon (PTZ) ZW-4946 20x PTZ Camera,3967.65,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Canon (PTZ),Canon (PTZ) YN-1498 12x PTZ Camera,2046.36,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Canon (PTZ),Canon (PTZ) YU-7541 30x PTZ Camera,4112.59,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Canon (PTZ),Canon (PTZ) QW-2415 12x PTZ Camera,2367.75,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Lumens,Lumens ZC-4977 12x PTZ Camera,1873.74,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Lumens,Lumens ZO-4318 20x PTZ Camera,3082.97,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Lumens,Lumens YS-9014 30x PTZ Camera,4434.42,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Lumens,Lumens ZH-1960 12x PTZ Camera,1904.38,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Lumens,Lumens ZX-6453 12x PTZ Camera,1822.42,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Lumens,Lumens ZE-7341 20x PTZ Camera,3699.23,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Lumens,Lumens ZW-4007 20x PTZ Camera,3560.19,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Lumens,Lumens ZX-8215 30x PTZ Camera,4010.59,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Lumens,Lumens YR-1965 20x PTZ Camera,3587.48,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,AVer (PTZ),AVer (PTZ) ZP-3652 12x PTZ Camera,1223.36,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,AVer (PTZ),AVer (PTZ) ZE-6323 30x PTZ Camera,4512.91,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,AVer (PTZ),AVer (PTZ) YW-8877 20x PTZ Camera,3044.29,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,AVer (PTZ),AVer (PTZ) YH-9781 12x PTZ Camera,1931.29,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,AVer (PTZ),AVer (PTZ) YW-2646 12x PTZ Camera,1956.12,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,AVer (PTZ),AVer (PTZ) ZF-3682 20x PTZ Camera,3035.78,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,AVer (PTZ),AVer (PTZ) YN-1498 30x PTZ Camera,4222.1,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,AVer (PTZ),AVer (PTZ) QW-9407 12x PTZ Camera,1630.93,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,AVer (PTZ),AVer (PTZ) ZW-2041 30x PTZ Camera,4011.0,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,AVer (PTZ),AVer (PTZ) ZF-3074 20x PTZ Camera,3967.65,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,AVer (PTZ),AVer (PTZ) ZM-8565 12x PTZ Camera,1873.74,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Marshall Electronics,Marshall Electronics YL-3904 20x PTZ Camera,3731.0,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Marshall Electronics,Marshall Electronics ZX-6453 12x PTZ Camera,1822.42,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Marshall Electronics,Marshall Electronics ZW-4007 20x PTZ Camera,3560.19,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Marshall Electronics,Marshall Electronics QW-5806 30x PTZ Camera,4419.04,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Marshall Electronics,Marshall Electronics ZX-8215 12x PTZ Camera,1904.38,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Marshall Electronics,Marshall Electronics YM-1808 30x PTZ Camera,4010.59,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Marshall Electronics,Marshall Electronics YU-7988 20x PTZ Camera,2666.86,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Marshall Electronics,Marshall Electronics YW-5219 12x PTZ Camera,2367.75,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,PTZOptics,PTZOptics YR-1965 20x PTZ Camera,3587.48,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,PTZOptics,PTZOptics ZF-3074 12x PTZ Camera,2250.7,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,PTZOptics,PTZOptics ZK-8724 20x PTZ Camera,2641.48,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,PTZOptics,PTZOptics YR-8239 30x PTZ Camera,4011.0,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,PTZOptics,PTZOptics ZU-6785 12x PTZ Camera,2140.23,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,PTZOptics,PTZOptics ZK-4235 30x PTZ Camera,4460.91,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,PTZOptics,PTZOptics ZM-9705 12x PTZ Camera,1236.43,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,PTZOptics,PTZOptics QO-8231 12x PTZ Camera,2336.83,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,PTZOptics,PTZOptics ZM-3475 20x PTZ Camera,2543.08,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Huddly,Huddly QX-6677 30x PTZ Camera,4856.12,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Huddly,Huddly ZW-4946 20x PTZ Camera,3967.65,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Huddly,Huddly YN-1498 12x PTZ Camera,2046.36,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Huddly,Huddly YU-7541 30x PTZ Camera,4112.59,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Huddly,Huddly QW-2415 12x PTZ Camera,2367.75,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Huddly,Huddly ZC-4977 12x PTZ Camera,1873.74,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Huddly,Huddly ZO-4318 20x PTZ Camera,3082.97,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Huddly,Huddly YS-9014 30x PTZ Camera,4434.42,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Huddly,Huddly ZH-1960 12x PTZ Camera,1904.38,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Vaddio (Legrand AV),Vaddio (Legrand AV) YW-8877 20x PTZ Camera,3044.29,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Vaddio (Legrand AV),Vaddio (Legrand AV) YH-9781 12x PTZ Camera,1931.29,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Vaddio (Legrand AV),Vaddio (Legrand AV) YW-2646 12x PTZ Camera,1956.12,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Vaddio (Legrand AV),Vaddio (Legrand AV) ZF-3682 20x PTZ Camera,3035.78,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Vaddio (Legrand AV),Vaddio (Legrand AV) YN-1498 30x PTZ Camera,4222.1,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Vaddio (Legrand AV),Vaddio (Legrand AV) QW-9407 12x PTZ Camera,1630.93,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Vaddio (Legrand AV),Vaddio (Legrand AV) ZW-2041 30x PTZ Camera,4011.0,"Generated Model for Catalog Expansion",Premium,"video_capture",""
PTZ & Pro Video Cameras,Vaddio (Legrand AV),Vaddio (Legrand AV) ZF-3074 20x PTZ Camera,3967.65,"Generated Model for Catalog Expansion",Standard,"video_capture",""
PTZ & Pro Video Cameras,Vaddio (Legrand AV),Vaddio (Legrand AV) ZM-8565 12x PTZ Camera,1873.74,"Generated Model for Catalog Expansion",Standard,"video_capture",""
Audio: Microphones & Conferencing,Sennheiser (TeamConnect),Sennheiser (TeamConnect) ZP-3652 Ceiling Array Mic,2528.0,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Sennheiser (TeamConnect),Sennheiser (TeamConnect) ZE-6323 Wireless System,3141.28,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Sennheiser (TeamConnect),Sennheiser (TeamConnect) YW-8877 Tabletop Mic,795.53,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Sennheiser (TeamConnect),Sennheiser (TeamConnect) YH-9781 Wireless System,3564.44,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Sennheiser (TeamConnect),Sennheiser (TeamConnect) YW-2646 Ceiling Array Mic,2955.51,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Sennheiser (TeamConnect),Sennheiser (TeamConnect) ZF-3682 Tabletop Mic,658.98,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Sennheiser (TeamConnect),Sennheiser (TeamConnect) YN-1498 Ceiling Array Mic,2962.33,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Sennheiser (TeamConnect),Sennheiser (TeamConnect) QW-9407 Tabletop Mic,921.65,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Sennheiser (TeamConnect),Sennheiser (TeamConnect) ZW-2041 Wireless System,3630.34,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Sennheiser (TeamConnect),Sennheiser (TeamConnect) ZF-3074 Ceiling Array Mic,2615.19,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audio-Technica,Audio-Technica ZM-8565 Tabletop Mic,822.42,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audio-Technica,Audio-Technica ZE-5701 Wireless System,3424.31,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audio-Technica,Audio-Technica YC-3843 Ceiling Array Mic,2719.16,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audio-Technica,Audio-Technica QW-5806 Tabletop Mic,658.98,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audio-Technica,Audio-Technica YL-3904 Wireless System,3141.28,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audio-Technica,Audio-Technica YM-1808 Ceiling Array Mic,2955.51,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audio-Technica,Audio-Technica YU-7988 Wireless System,3564.44,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audio-Technica,Audio-Technica YW-5219 Tabletop Mic,795.53,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audio-Technica,Audio-Technica ZF-3074 Ceiling Array Mic,2615.19,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audio-Technica,Audio-Technica ZK-8724 Wireless System,3630.34,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audio-Technica,Audio-Technica YR-8239 Tabletop Mic,921.65,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Biamp (Parlé),Biamp (Parlé) ZP-3652 Ceiling Array Mic,2528.0,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Biamp (Parlé),Biamp (Parlé) ZE-6323 Wireless System,3141.28,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Biamp (Parlé),Biamp (Parlé) YW-8877 Tabletop Mic,795.53,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Biamp (Parlé),Biamp (Parlé) YH-9781 Wireless System,3564.44,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Biamp (Parlé),Biamp (Parlé) YW-2646 Ceiling Array Mic,2955.51,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Biamp (Parlé),Biamp (Parlé) ZF-3682 Tabletop Mic,658.98,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Biamp (Parlé),Biamp (Parlé) YN-1498 Ceiling Array Mic,2962.33,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Biamp (Parlé),Biamp (Parlé) QW-9407 Tabletop Mic,921.65,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Biamp (Parlé),Biamp (Parlé) ZW-2041 Wireless System,3630.34,"Generated Model for Catalog Expansion",Premium,"audio,audio_capture",""
Audio: Microphones & Conferencing,Yamaha UC,Yamaha UC ZF-3074 Ceiling Array Mic,2615.19,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Yamaha UC,Yamaha UC ZM-8565 Tabletop Mic,822.42,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Yamaha UC,Yamaha UC ZE-5701 Wireless System,3424.31,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Yamaha UC,Yamaha UC YC-3843 Ceiling Array Mic,2719.16,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Yamaha UC,Yamaha UC QW-5806 Tabletop Mic,658.98,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Yamaha UC,Yamaha UC YL-3904 Wireless System,3141.28,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Yamaha UC,Yamaha UC YM-1808 Ceiling Array Mic,2955.51,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Yamaha UC,Yamaha UC YU-7988 Wireless System,3564.44,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Yamaha UC,Yamaha UC YW-5219 Tabletop Mic,795.53,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Yamaha UC,Yamaha UC ZF-3074 Ceiling Array Mic,2615.19,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Yamaha UC,Yamaha UC ZK-8724 Wireless System,3630.34,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Beyerdynamic,Beyerdynamic YR-8239 Tabletop Mic,921.65,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Beyerdynamic,Beyerdynamic ZP-3652 Ceiling Array Mic,2528.0,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Beyerdynamic,Beyerdynamic ZE-6323 Wireless System,3141.28,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Beyerdynamic,Beyerdynamic YW-8877 Tabletop Mic,795.53,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Beyerdynamic,Beyerdynamic YH-9781 Wireless System,3564.44,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Beyerdynamic,Beyerdynamic YW-2646 Ceiling Array Mic,2955.51,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Beyerdynamic,Beyerdynamic ZF-3682 Tabletop Mic,658.98,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Beyerdynamic,Beyerdynamic YN-1498 Ceiling Array Mic,2962.33,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Beyerdynamic,Beyerdynamic QW-9407 Tabletop Mic,921.65,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Beyerdynamic,Beyerdynamic ZW-2041 Wireless System,3630.34,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audix,Audix ZF-3074 Ceiling Array Mic,2615.19,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audix,Audix ZM-8565 Tabletop Mic,822.42,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audix,Audix ZE-5701 Wireless System,3424.31,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audix,Audix YC-3843 Ceiling Array Mic,2719.16,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audix,Audix QW-5806 Tabletop Mic,658.98,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audix,Audix YL-3904 Wireless System,3141.28,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audix,Audix YM-1808 Ceiling Array Mic,2955.51,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audix,Audix YU-7988 Wireless System,3564.44,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audix,Audix YW-5219 Tabletop Mic,795.53,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
Audio: Microphones & Conferencing,Audix,Audix ZF-3074 Ceiling Array Mic,2615.19,"Generated Model for Catalog Expansion",Standard,"audio,audio_capture",""
